order_id,receita_bruta,receita_liquida,custo_frete
ORD-038319,208.94,208.94,12.48
ORD-067964,1264.12,1177.57,7.5
ORD-063177,640.3,640.3,44.36
ORD-016259,1475.45,1475.45,24.36
ORD-079796,1310.2,1127.27,45.54
ORD-058922,962.12,962.12,29.18
ORD-070314,363.72,363.72,48.51
ORD-004235,2944.56,2944.56,19.7
ORD-001814,2988.25,2632.68,9.64
ORD-018243,268.5,268.5,37.89
ORD-008625,1284.12,1284.12,9.01
ORD-061730,768.68,694.15,31.76
ORD-042728,1375.38,1375.38,17.17
ORD-064377,1323.27,1323.27,11.53
ORD-011868,272.28,272.28,54.86
ORD-057731,464.15,464.15,28.17
ORD-007810,142.35,142.35,24.14
ORD-029319,890.8,890.8,26.61
ORD-055643,130.06,130.06,45.76
ORD-030619,646.86,578.75,14.54
ORD-070534,528.57,528.57,10.55
ORD-013267,124.55,124.55,9.33
ORD-061259,815.25,699.01,55.79
ORD-078252,694.75,512.23,40.49
ORD-052708,1187.88,1187.88,52.46
ORD-025575,528.5,528.5,35.34
ORD-013586,237.09,237.09,33.67
ORD-009640,1839.3,1839.3,20.81
ORD-079134,773.2,773.2,34.96
ORD-023643,1135.68,1135.68,14.97
ORD-004327,732.12,569.58,18.25
ORD-014322,564.88,564.88,7.6
ORD-066213,523.35,468.38,33.86
ORD-038885,148.2,90.92,15.36
ORD-046194,523.74,371.28,44.39
ORD-073484,599.32,599.32,58.78
ORD-024925,704.28,704.28,43.88
ORD-072211,401.5,401.5,36.82
ORD-062460,584.52,584.52,5.65
ORD-077040,3385.86,3385.86,8.73
ORD-027212,90.97,90.97,38.33
ORD-057956,1259.4,1001.23,18.7
ORD-013126,1404.36,1068.25,37.75
ORD-044020,546.52,546.52,16.38
ORD-044203,543.92,445.69,23.61
ORD-028141,331.9,299.78,22.29
ORD-009901,261.22,261.22,56.93
ORD-062765,640.36,520.82,19.41
ORD-022346,75.4,75.4,6.44
ORD-037158,243.44,243.44,31.97
ORD-051710,133.6,133.6,10.51
ORD-025848,153.6,139.39,21.7
ORD-011305,984.84,759.16,41.49
ORD-033399,560.56,511.4,37.61
ORD-017742,1002.57,614.0,35.48
ORD-000378,209.48,209.48,29.62
ORD-072482,810.63,810.63,32.98
ORD-044532,173.04,173.04,32.78
ORD-033170,1161.96,1161.96,7.33
ORD-069157,521.64,521.64,52.98
ORD-015859,992.55,992.55,26.73
ORD-039910,812.58,812.58,33.49
ORD-050873,1267.35,1267.35,14.31
ORD-044432,1010.8,1010.8,52.17
ORD-059465,183.24,164.16,9.5
ORD-009682,1462.8,1462.8,36.09
ORD-040524,1138.05,1138.05,32.3
ORD-037545,510.3,510.3,14.87
ORD-007640,1249.6,1249.6,14.6
ORD-024831,872.04,872.04,26.08
ORD-007789,1019.16,649.5,41.59
ORD-075050,926.46,926.46,35.88
ORD-038568,356.73,242.5,34.57
ORD-001971,1400.96,1400.96,25.98
ORD-059348,1122.0,1122.0,51.33
ORD-053253,1295.58,886.63,35.29
ORD-039526,1515.75,1220.93,41.81
ORD-075928,1400.34,1235.04,13.2
ORD-047500,1804.62,1804.62,53.0
ORD-069842,201.68,201.68,21.83
ORD-011257,513.99,513.99,49.87
ORD-072429,85.8,85.8,15.6
ORD-037919,250.4,250.4,50.91
ORD-011453,229.01,229.01,54.81
ORD-036429,1627.9,1062.43,7.87
ORD-050563,1002.15,1002.15,49.61
ORD-049961,131.43,131.43,53.86
ORD-018745,758.88,758.88,28.85
ORD-032399,255.2,255.2,46.68
ORD-056523,436.96,436.96,42.16
ORD-006498,254.43,175.92,8.06
ORD-025432,786.87,786.87,12.88
ORD-060911,1713.85,1105.63,7.74
ORD-030017,1665.42,1665.42,55.0
ORD-037829,471.87,328.64,29.09
ORD-067107,194.03,194.03,9.19
ORD-058688,438.06,438.06,10.41
ORD-007776,157.55,157.55,17.02
ORD-079451,591.52,591.52,25.47
ORD-059550,805.6,805.6,32.13
ORD-016541,602.8,602.8,23.58
ORD-043342,265.96,210.82,51.98
ORD-074869,1071.0,650.57,29.72
ORD-008280,263.6,263.6,22.42
ORD-065867,1696.38,1696.38,9.67
ORD-048884,689.85,689.85,49.49
ORD-038182,185.55,185.55,45.4
ORD-035844,755.34,755.34,19.07
ORD-013672,307.8,271.88,23.85
ORD-062268,191.59,191.59,22.4
ORD-056273,1727.55,1727.55,28.49
ORD-061015,212.42,212.42,29.82
ORD-045881,796.4,796.4,44.45
ORD-063283,171.74,171.74,55.72
ORD-034210,669.82,669.82,26.15
ORD-022568,294.45,294.45,25.36
ORD-000902,1014.24,1014.24,24.33
ORD-060481,505.56,404.57,17.99
ORD-042124,737.0,737.0,5.72
ORD-078513,486.42,385.17,35.81
ORD-036845,1398.54,1196.75,49.93
ORD-077566,349.0,349.0,42.88
ORD-045885,639.1,463.09,38.79
ORD-002414,370.95,370.95,15.21
ORD-026524,54.59,54.59,52.71
ORD-050692,264.9,264.9,30.46
ORD-060686,521.94,521.94,17.94
ORD-022736,172.08,172.08,36.81
ORD-026083,185.74,185.74,21.4
ORD-036650,578.76,578.76,34.09
ORD-057657,295.08,239.29,14.9
ORD-050619,878.91,823.25,57.11
ORD-073647,144.74,144.74,39.52
ORD-062015,973.1,973.1,48.64
ORD-042291,732.24,663.73,55.7
ORD-007107,1150.4,959.84,18.55
ORD-035572,523.36,320.24,49.86
ORD-039828,1030.3,1030.3,44.41
ORD-073271,297.24,234.57,43.95
ORD-003963,1307.15,911.02,50.47
ORD-046704,803.12,803.12,37.01
ORD-059862,613.04,613.04,34.14
ORD-030434,1086.55,1086.55,48.71
ORD-040788,999.15,999.15,59.64
ORD-070892,1200.48,1200.48,29.04
ORD-042080,252.11,252.11,22.15
ORD-045127,791.64,791.64,45.62
ORD-008853,308.7,308.7,17.99
ORD-058473,600.35,600.35,34.65
ORD-059810,692.56,492.55,22.68
ORD-057583,262.32,262.32,31.73
ORD-023662,719.85,719.85,34.2
ORD-039186,563.34,563.34,44.83
ORD-048127,707.22,707.22,41.11
ORD-068005,896.04,896.04,43.46
ORD-029295,974.16,974.16,49.71
ORD-051438,98.91,98.91,6.68
ORD-061407,60.78,60.78,26.0
ORD-051038,347.24,347.24,55.76
ORD-001436,339.45,339.45,30.62
ORD-057718,746.88,606.2,29.54
ORD-059101,145.84,115.14,48.37
ORD-026078,486.2,366.56,20.35
ORD-009069,1058.04,1058.04,21.93
ORD-016651,1210.75,1210.75,29.34
ORD-055938,1381.2,1381.2,8.77
ORD-058899,137.61,137.61,39.67
ORD-036875,200.27,200.27,14.45
ORD-011180,1368.9,1036.53,41.64
ORD-000291,206.19,163.94,26.87
ORD-014172,939.36,612.93,33.56
ORD-003655,552.6,552.6,44.43
ORD-009910,664.98,664.98,36.82
ORD-044185,2850.65,2850.65,19.05
ORD-072774,1490.9,1490.9,26.93
ORD-066474,496.9,496.9,14.49
ORD-077838,995.15,760.37,17.13
ORD-057080,122.2,122.2,31.96
ORD-069258,2319.16,1566.77,44.5
ORD-062885,506.44,466.95,23.0
ORD-025381,776.72,776.72,54.69
ORD-006990,634.34,634.34,38.94
ORD-063835,1161.7,977.79,57.81
ORD-000101,320.36,320.36,7.18
ORD-034767,512.04,512.04,17.24
ORD-046542,110.3,110.3,31.75
ORD-021521,175.5,175.5,58.82
ORD-064588,210.8,138.88,53.24
ORD-056434,300.6,300.6,39.7
ORD-072164,192.25,192.25,32.73
ORD-056328,1257.04,1257.04,45.96
ORD-058814,327.99,327.99,51.66
ORD-059148,673.56,673.56,10.08
ORD-054064,772.65,772.65,50.87
ORD-011466,691.75,691.75,47.06
ORD-035394,612.85,469.14,12.12
ORD-027251,844.76,680.88,56.07
ORD-060140,1045.89,1045.89,10.92
ORD-015337,147.75,147.75,23.7
ORD-071347,212.69,212.69,28.79
ORD-030040,306.95,306.95,24.85
ORD-067182,438.84,314.43,53.59
ORD-072320,66.07,50.07,28.7
ORD-045734,808.28,745.39,30.41
ORD-028561,468.2,468.2,6.99
ORD-017064,512.49,512.49,24.92
ORD-009989,659.0,514.88,52.18
ORD-025411,1414.38,1414.38,6.74
ORD-070572,691.95,581.14,45.53
ORD-046282,280.36,280.36,21.12
ORD-043902,268.68,222.33,29.01
ORD-003385,99.68,72.01,11.19
ORD-005676,151.59,132.35,24.67
ORD-026358,655.32,513.35,25.22
ORD-040842,1703.04,1703.04,8.15
ORD-036644,1735.3,1735.3,58.08
ORD-050037,1476.48,1476.48,37.53
ORD-076542,261.33,261.33,25.57
ORD-001020,281.29,193.51,40.98
ORD-020992,463.24,463.24,20.74
ORD-067621,155.2,155.2,40.87
ORD-043603,1230.0,1085.89,41.67
ORD-072016,314.67,212.92,42.42
ORD-068063,127.42,120.38,59.57
ORD-031410,574.24,574.24,24.41
ORD-037676,461.49,461.49,29.13
ORD-076315,378.59,378.59,50.38
ORD-051414,381.98,381.98,32.63
ORD-017100,1166.3,1166.3,17.89
ORD-032442,860.31,645.46,51.74
ORD-061590,345.66,345.66,55.01
ORD-030315,307.35,243.94,52.72
ORD-022308,344.04,344.04,42.9
ORD-045366,154.37,125.11,56.66
ORD-053814,503.04,503.04,21.21
ORD-027619,508.38,508.38,30.59
ORD-039916,1545.25,1545.25,37.56
ORD-004743,1354.62,1354.62,47.67
ORD-002859,1755.9,1755.9,27.49
ORD-034399,1074.92,1074.92,10.94
ORD-077034,1073.1,1073.1,35.78
ORD-059263,2036.04,2036.04,8.96
ORD-059637,832.38,832.38,59.9
ORD-074073,192.57,170.72,45.26
ORD-078386,644.76,644.76,38.99
ORD-075989,531.8,531.8,31.52
ORD-019091,196.75,196.75,45.75
ORD-067083,315.94,251.87,34.37
ORD-062379,51.59,51.59,20.54
ORD-006614,1199.04,833.6,9.91
ORD-014676,1384.95,1384.95,14.46
ORD-027561,787.6,787.6,13.94
ORD-048781,699.72,699.72,8.97
ORD-032104,308.32,308.32,41.25
ORD-011675,2318.76,2318.76,10.14
ORD-016313,1516.05,1516.05,30.21
ORD-060095,396.24,330.28,50.76
ORD-055063,547.86,505.31,34.98
ORD-015750,2043.66,1763.8,34.95
ORD-043001,1339.2,1339.2,45.0
ORD-002900,344.17,344.17,9.13
ORD-007570,332.4,298.51,8.82
ORD-059578,413.02,392.33,37.81
ORD-079137,810.99,810.99,11.33
ORD-071076,504.1,504.1,39.69
ORD-064748,726.3,625.62,5.31
ORD-061501,470.24,379.3,55.55
ORD-057588,1493.5,1493.5,5.45
ORD-065254,713.31,477.94,38.26
ORD-077999,403.73,292.94,26.63
ORD-062992,200.38,189.96,16.76
ORD-042463,606.0,606.0,24.76
ORD-034794,265.71,203.6,5.07
ORD-010501,1542.78,1542.78,45.46
ORD-050731,1504.68,1504.68,22.28
ORD-065319,260.52,260.52,9.31
ORD-025291,301.16,301.16,48.12
ORD-044615,2685.6,2685.6,7.5
ORD-069335,670.14,670.14,12.22
ORD-014401,397.05,397.05,47.18
ORD-000292,1178.92,1178.92,45.73
ORD-043442,106.4,106.4,13.34
ORD-061268,539.6,539.6,40.94
ORD-067849,729.0,729.0,38.31
ORD-061515,915.84,915.84,48.63
ORD-056911,560.4,560.4,56.88
ORD-022567,794.18,592.81,24.83
ORD-020928,980.4,980.4,5.47
ORD-055412,1972.92,1402.88,50.64
ORD-072614,1978.92,1334.0,31.89
ORD-067321,1657.44,1657.44,39.49
ORD-003389,378.84,301.45,11.37
ORD-046309,311.75,311.75,56.08
ORD-001781,1549.4,1549.4,49.99
ORD-006980,759.6,759.6,59.23
ORD-023944,855.4,789.77,40.84
ORD-015931,911.8,594.23,26.78
ORD-072360,271.46,271.46,31.14
ORD-020725,85.4,85.4,48.89
ORD-007960,277.3,277.3,23.17
ORD-002418,592.02,534.71,53.28
ORD-012267,1387.92,938.36,33.11
ORD-007027,615.6,566.14,13.54
ORD-061047,3239.64,3239.64,7.49
ORD-025427,807.15,807.15,33.38
ORD-034402,730.77,730.77,38.99
ORD-030751,80.24,80.24,26.51
ORD-014487,507.78,507.78,58.95
ORD-030216,478.2,478.2,12.01
ORD-005605,97.62,97.62,58.57
ORD-059785,295.98,194.46,39.11
ORD-070668,135.21,135.21,54.62
ORD-029050,202.55,202.55,20.33
ORD-052206,298.32,182.52,28.64
ORD-038396,1757.34,1472.29,37.04
ORD-065487,129.73,101.4,13.13
ORD-041299,240.77,240.77,35.15
ORD-013692,840.76,840.76,40.19
ORD-014464,455.28,455.28,59.57
ORD-072732,671.28,671.28,35.53
ORD-003911,223.27,198.9,52.91
ORD-035978,1486.8,1486.8,59.2
ORD-076085,56.85,56.85,50.87
ORD-051029,197.62,197.62,43.54
ORD-059493,196.0,196.0,55.79
ORD-008179,1129.8,1129.8,32.27
ORD-035894,1118.76,848.74,47.57
ORD-042127,129.56,93.01,31.95
ORD-037865,1434.18,1434.18,8.41
ORD-076461,288.3,258.58,44.55
ORD-044062,357.04,357.04,48.65
ORD-000336,1348.16,1348.16,13.74
ORD-016387,2009.58,1885.77,22.21
ORD-034662,289.85,289.85,38.67
ORD-049420,216.27,147.54,59.53
ORD-072997,1093.68,1093.68,32.22
ORD-025331,770.76,770.76,39.47
ORD-058184,541.32,438.53,22.11
ORD-071385,889.2,889.2,10.44
ORD-001827,161.26,140.24,14.7
ORD-035539,413.25,413.25,28.53
ORD-010266,1727.7,1045.39,22.51
ORD-047173,354.14,354.14,45.25
ORD-034478,683.88,683.88,11.55
ORD-041088,392.35,392.35,43.78
ORD-001795,485.82,300.62,55.29
ORD-062941,391.08,391.08,40.53
ORD-023968,424.88,369.87,52.32
ORD-015033,490.62,337.93,24.08
ORD-008836,954.18,698.12,15.13
ORD-064787,611.76,611.76,38.2
ORD-003875,478.1,478.1,19.18
ORD-005017,856.2,856.2,49.38
ORD-001423,160.36,160.36,58.17
ORD-011511,530.0,488.79,39.39
ORD-035341,1259.48,1259.48,50.07
ORD-024148,1193.58,1193.58,33.02
ORD-058308,852.6,852.6,8.56
ORD-054662,1047.3,1047.3,16.18
ORD-041185,767.52,609.7,56.8
ORD-023680,278.36,184.31,20.16
ORD-065214,217.04,217.04,44.43
ORD-074033,222.0,194.9,17.36
ORD-026531,431.58,431.58,37.83
ORD-021009,303.26,303.26,47.9
ORD-064674,605.56,605.56,32.01
ORD-033628,362.54,362.54,35.87
ORD-037467,511.06,511.06,33.1
ORD-032821,276.56,276.56,33.66
ORD-070522,104.26,82.5,26.33
ORD-062041,292.34,292.34,22.49
ORD-001549,165.87,165.87,50.41
ORD-073449,100.12,100.12,9.73
ORD-043832,552.18,552.18,40.2
ORD-070479,1065.0,926.99,16.44
ORD-075700,1181.16,1181.16,20.09
ORD-019204,320.54,320.54,54.02
ORD-061086,233.64,233.64,13.37
ORD-025010,1020.44,1020.44,53.42
ORD-071861,1535.52,1535.52,41.6
ORD-069307,1290.64,1006.98,57.35
ORD-065717,184.24,184.24,51.17
ORD-036848,394.8,343.16,45.49
ORD-013122,473.32,340.08,56.59
ORD-008850,1049.04,1049.04,11.93
